provider,metric,n_runs,mean,std,min,max
anthropic,accuracy,5,0.4523809523809524,0.0,0.4523809523809524,0.4523809523809524
anthropic,balanced_accuracy,5,0.5375,0.0,0.5375,0.5375
anthropic,precision_yes,5,0.8,0.0,0.8,0.8
anthropic,recall_yes,5,0.375,0.0,0.375,0.375
anthropic,specificity,5,0.7,0.0,0.7,0.7
anthropic,f1_yes,5,0.5106382978723404,0.0,0.5106382978723404,0.5106382978723404
anthropic,mcc,5,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667
anthropic,cohen_kappa,5,0.047337278106509006,0.0,0.047337278106509006,0.047337278106509006
anthropic,brier_score,5,0.478822380952381,0.0003922672338679697,0.47833095238095236,0.47928095238095236
anthropic,schema_valid_rate,5,1.0,0.0,1.0,1.0
anthropic,evidence_valid_rate,5,0.9523809523809523,0.0,0.9523809523809523,0.9523809523809523
anthropic,estimated_cost_usd,5,0.094389,0.00014775824850070984,0.094227,0.094567
anthropic,mean_latency_seconds,5,1.6853754547571238,0.07934093523781717,1.6176019563095105,1.785151062642821
gemini,accuracy,5,0.5238095238095238,0.0,0.5238095238095238,0.5238095238095238
gemini,balanced_accuracy,5,0.6875,0.0,0.6875,0.6875
gemini,precision_yes,5,1.0,0.0,1.0,1.0
gemini,recall_yes,5,0.375,0.0,0.375,0.375
gemini,specificity,5,1.0,0.0,1.0,1.0
gemini,f1_yes,5,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454
gemini,mcc,5,0.35355339059327373,0.0,0.35355339059327373,0.35355339059327373
gemini,cohen_kappa,5,0.22222222222222224,3.1031676915590914e-17,0.2222222222222222,0.2222222222222222
gemini,brier_score,5,0.4504761904761906,5.551115123125783e-17,0.45047619047619053,0.4504761904761906
gemini,schema_valid_rate,5,1.0,0.0,1.0,1.0
gemini,evidence_valid_rate,5,0.976190476190476,1.2412670766236366e-16,0.9761904761904762,0.9761904761904762
gemini,estimated_cost_usd,5,0.01611075,1.734723475976807e-18,0.016110749999999997,0.01611075
gemini,mean_latency_seconds,5,1.4490620369857272,0.44516092514680383,1.2134261298571498,2.2381427627142547
openai,accuracy,5,0.4619047619047619,0.02129588549999799,0.42857142857142855,0.47619047619047616
openai,balanced_accuracy,5,0.646875,0.013975424859373685,0.625,0.65625
openai,precision_yes,5,1.0,0.0,1.0,1.0
openai,recall_yes,5,0.29375,0.02795084971874737,0.25,0.3125
openai,specificity,5,1.0,0.0,1.0,1.0
openai,f1_yes,5,0.4535191637630662,0.03397191697127735,0.4,0.47619047619047616
openai,mcc,5,0.3001200352667783,0.018474689776268642,0.2711630722733202,0.3125
openai,cohen_kappa,5,0.16557243867571647,0.01835797086185626,0.136986301369863,0.1779359430604981
openai,brier_score,5,0.48344999999999994,0.01061154189684852,0.4746571428571429,0.49683333333333335
openai,schema_valid_rate,5,1.0,0.0,1.0,1.0
openai,evidence_valid_rate,5,0.9523809523809523,0.03367175148507367,0.9047619047619048,0.9761904761904762
openai,estimated_cost_usd,5,0.1830165,0.0023149476235975563,0.1804545,0.1860045
openai,mean_latency_seconds,5,2.3185860177476365,0.3062408160873998,1.901526901476202,2.647294432333367
